식사군,음식분류,음식코드,음식명,재료코드,재료명,재료량(g),에너지(kcal),탄수화물(g),지질(g),식물성 지질(g),동물성 지질(g),단백질(g),식물성 단백질(g),동물성 단백질(g),총 식이섬유(g),수용성 식이섬유(g),불용성 식이섬유(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),갈락토오스(g),수분(g),회분(g),비타민 A (RAE)(μg RAE),비타민 A (RE)(μg RE),레티놀(μg),베타카로틴(μg),비타민 D(μg),비타민 D2 (μg),비타민 D3(μg),비타민 E(mg),비타민 E_α(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),비타민 C(mg),티아민(mg),리보플라빈(mg),나이아신(mg),나이아신(NE)(mg),니코틴산 (mg),니코틴아마이드(mg),비타민 B6(mg),엽산(μg DFE),엽산 - 식품 엽산(μg),엽산 - 첨가 엽산(μg),비타민 B12(μg),판토텐산(mg),비오틴(μg),피리독신(mg),칼슘(mg),식물성 칼슘(mg),동물성 칼슘(mg),인(mg),나트륨(mg),염소(mg),칼륨(mg),마그네슘(mg),철(mg),식물성 철(mg),동물성 철(mg),아연(mg),구리(μg),불소(mg),망간(mg),요오드(μg),셀레늄(μg),코발트(μg),몰리브덴(μg),콜레스테롤(mg),총지방산(g),총 포화지방산 (g),총 단일불포화지방산(g),총 다가불포화지방산(g),총 필수 지방산(g),오메가3지방산(g),오메가6지방산(g),부티르산(4:0)(g),카프로산(6:0)(g),카프릴산(8:0)(g),카프르산(10:0)(g),데세노산(10:1)(g),라우르산(12:0)(g),트라이데칸산(13:0)(g),미리스트산(14:0)(g),미리스톨레산(14:1)(g),펜타데칸산(15:0)(g),팔미트산(16:0)(g),팔리톨레산(16:1)(g),헵타데칸산(17:0)(g),헵타데센산(17:1)(g),스테아르산(18:0)(g),올레산(18:1)(g),박센산(18:1(n-7))(g),리놀레산(18:2(n-6))(g),알파리놀렌산(18:3(n-3))(g),감마리놀렌산(18:3(n-6))(g),스테아리돈산(18:4(n-3))(g),아라키드산(20:0)(g),가돌레산(20:1)(g),에이코사디에노산(20:2(n-6))(g),에이코사트리엔산(20:3(n-3))(g),에이코사트리에노산(20:3(n-6))(g),에이코사테르라에노산(20:4(n-3))(g),아라키돈산(20:4(n-6))(g),에이코펜타에노산(20:5(n-3))(g),헨에이코산산(21:0)(g),베헨산(22:0)(g),에루크산(22:1)(g),도코사디엔산(22:2)(g),도코사펜타에노산(22:5(n-3))(g),도코사펜타에노산(22:5(n-6))(g),도코사헥사에노산(22:6(n-3))(g),트리코산산(23:0)(g),리그노세르산(24:0)(g),네르본산(24:1)(g),총 트랜스지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 리놀레산 (18:2t)(g),트랜스 리놀렌산(18:3t)(g),총 아미노산(mg),필수아미노산(mg),비필수 아미노산(mg),이소루신(mg),루신(mg),라이신(mg),메티오닌(mg),페닐알라닌(mg),트레오닌(mg),트립토판(mg),발린(mg),히스티딘(mg),아르기닌(mg),티로신(mg),시스테인(mg),알라닌(mg),아스파르트산(mg),글루탐산(mg),글리신(mg),프롤린(mg),세린(mg),타우린(mg),함황아미노산 (mg),방향족아미노산(mg),곁가지아미노산(mg)
3,4,246028,가자미허브구이_HS,1610370001b,파슬리: 말린것,0.2,0.584,0.10128,0.01096,0.01096,0,0.05326,0.05326,0,0.0534,0,0,0.01454,0.00818,0.00552,8.40E-04,0,0,0,0.01178,0.02272,0.192,0.384,0,2.304,0,0,0,0.02102,0.018246,0.01792,4.00E-05,0.00306,0,0,0,0,0,2.719,2.719,0,0.25,3.92E-04,0.004766,0.019886,0.035720002,0,0,0.0018,0.36,0.36,0,0,0.002124,0,0,2.28,2.28,0,0.872,0.904,0,5.366,0.8,0.04408,0.04408,0,0.01088,1.56,0,0.01962,0,0.0282,0,0,0,0.01053,0.002754,0.001528,0.006248,0.0062160003,0.00372,0.002528,0,0,0,0,0,0,0,0,0,0,0.002446,0,0,0,1.16E-04,0.001528,0,0.002496,0.00372,3.20E-05,0,1.00E-05,0,0,0,0,0,0,0,0,5.60E-05,0,0,0,0,0,0,1.26E-04,0,0,0,0,0,59.852,29.818,30.034,3.092,5.588,4.196,1.192,3.424,2.386,0.95,4.042,1.436,3.512,2.318,0.596,3.556,6.338,7.376,3.512,4.02,2.318,0,1.788,6.692,12.722
3,4,246028,가자미허브구이_HS,1110060000a,가자미: 생것,60,77.4,0.18,2.22,0,2.22,13.26,0,13.26,0,0,0,0,0,0,0,0,0,0,43.38,0.96,4.8,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.108,0.156,2.58,0,0,0,0,0,0,0,0,0,0,0,24,0,24,117.6,138,0,226.2,20.9622,0.42,0,0.42,0.5988,0,0,0,0,0,0,0,0,1.2168,0.4446,0.3948,0.3774,0.012,0.3672,0.0096,0,0,0,0,0,0,0,0.0018,0,0,0.3636,0,0,0,0.0792,0.3948,0,0.0078,0.0042,0.0018,0,0,0,0,0,0,0,0,0.1836,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,246028,가자미허브구이_HS,1610180001a,소금: 식염,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,335.97,0,1.35,0.24,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,246039,감자양파국_HS,0611100100a,양파: 국내산: 생것,20,5.8,1.334,0.008,0.008,0,0.19,0.19,0,0.34,0,0.34,1.148,0.13,0.55799997,0.46,0,0,0,18.4,0.066,0.0334,0.0666,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176,0.007,0.0022,0.0198,0.057200003,0.019000001,8.00E-04,0,2.2,2.2,0,0,0.0212,0.114,0.0022,3,3,0,5.4,0.6,0,29,1.6,0.04,0.04,0,0.03,1.4,0,0.0352,0,0.234,0,0.106,0,0.0076,0.0022,0.0012,0.0042,0.0035999997,2.00E-04,0.004,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,2.00E-04,0.0012,0,0.0034,2.00E-04,4.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-04,0,0,0,0,0,148,73.6,74.4,3.8,7.4,9,1.2,6,4.2,2.2,4.8,2.6,32.4,3,1.8,3.6,15,40.4,4,2.8,3.8,0,3,11.2,16
3,2,246039,감자양파국_HS,0210010000a,감자: 생것,50,31.5,6.95,0,0,0,1.2,1.2,0,0.35,0,0.35,0,0,0,0,0,0,0,41.35,0.5,0.125,0.25,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,4,0.13,0.02,0.2,0,0,0,0.065,13.65,0,0,0,0.148,0,0,2,2,0,31.5,1.5,0,242.5,3.5,0.3,0.3,0,0.25,27.05,0,0.05,0,0.15,0,0,0,0.032,0.015,5.00E-04,0.0165,0.0165,0.003,0.0135,0,0,0,0,0,0.001,0,0,0,0,0.0095,0,0,0,0.0035,5.00E-04,0,0.0135,0.003,0,0,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,885.62006,353.515,532.105,38.385,53.095,49.815,12.535,41.04,32.69,0,57.495,12.885,55.575,32.58,15.65,37.86,205.515,167.055,22.45,26.055,24.94,0,28.185,73.62,148.975
3,2,246039,감자양파국_HS,0910020028a,쇠고기: 한우: 양지  생것 ,20,50.6,0,3.718,0,3.718,3.716,0,3.716,0,0,0,0,0,0,0,0,0,0,12.2,0.166,2.4,2.4,2.4,0,0,0,0,0.032,0.031999998,0.031999998,0,0,0,0,0,0,0,0,0,0,0.186,0.0018,0.049,0.4602,1.0628,0,0.4602,0,0,0,0,0.274,0.021,0.52,0.0028000001,1,0,1,32.6,11,0,53,3.6,0.384,0,0.384,0.964,7,0,0,0.122,4.758,0,0.124,13.098,2.8104,1.1518,1.4908,0.0792,0.0588,0.0042,0.0748,0,0,0,0.0018,0,0.0042,4.00E-04,0.1148,0.0406,0.0088,0.758,0.1794,0.0168,0,0.2448,1.1882,0.073400006,0.0558,0.003,0.0026,0,0.0014,0.0088,0.0012,0,0.0054,0,0.0098,0,4.00E-04,4.00E-04,6.00E-04,0,0.0012,0,0,2.00E-04,2.00E-04,0,0.088599995,0.063200004,0.0196,0.0058,3344.8,1653,1691.8,140.8,291.2,310,83,145.8,155,36.2,155.6,126.8,208.6,128,38.8,210.2,315.6,527.6,180.6,152.6,138.4,0,121.8,310,587.6
3,2,246039,감자양파국_HS,0611570200a,파: 대파,5,1.15,0.24,0.0075,0.0075,0,0.089,0.089,0,0.08,0.01,0.07,0.1315,0.0019999999,0.0615,0.0625,0,0,0.0055,4.64,0.0235,1.15415,2.30835,0,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,4.377,4.377,0,0.1775,0.0033,0.0047,0.00715,0.0116,0.0037500001,0.0034000003,0,1,1,0,0,0.04185,0,7.00E-04,1.2,1.2,0,1.5,0,0,9.05,0.5,0.041,0.041,0,0.0395,1,0,0.03765,0.469,0,0,0.0955,0,0.00725,0.00325,4.00E-04,0.0036,0.0036,0.00125,0.00235,0,0,0,0,0,1.00E-04,0,5.00E-05,0,0,0.00185,0,0,0,0.00105,4.00E-04,0,0.00235,0.00125,0,0,5.00E-05,0,0,0,0,0,0,0,5.00E-05,1.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,54.1,20.4,33.7,1.75,3.55,2.5,0.6,2.25,3.1,0.25,2.35,1.2,2.85,1.65,0.55,2.4,7.15,14.7,1.95,1.25,4.05,0,1.15,4.15,7.65
3,2,246039,감자양파국_HS,1610180001a,소금: 식염,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,1.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,671.94,0,2.7,0.48,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,246039,감자양파국_HS,0610500100a,마늘: 국내산: 생것,1,1.28,0.2642,0.0016,0.0016,0,0.0745,0.0745,0,0.038,0.016,0.023,0.0023,0,0.0023,0,0,0,0,0.648,0.0121,0,0,0,0,0,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0.0845,0.00145,0.00161,0.00498,0.00795,0.00468,3.00E-04,0,0.92,0.92,0,0,0.01084,0.0384,0.0010800001,0.12,0.12,0,1.56,0.03,0,5.31,0.24,0.0078,0.0078,0,0.0066,0.35,0,0.00251,0.0111,0.0346,0,0.1079,0,0.00148,5.50E-04,1.80E-04,7.60E-04,7.60E-04,0,7.60E-04,0,0,0,0,0,0,0,2.00E-05,0,0,4.90E-04,0,0,0,2.00E-05,1.70E-04,0,7.60E-04,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,52.74,26.55,26.19,1,1.96,2.07,0.46,1.68,1.39,0.18,1.71,0.93,15.17,1.18,1.08,1.46,7.43,10.67,1.5,1.12,1.75,0,1.54,3.04,4.67
1,12,246075,갓절임무침_HS,1610200001i,식초: 양조식초,2,0.02,0.0068,0,0,0,4.00E-04,4.00E-04,0,0,0,0,0,0,0,0,0,0,0,1.992,8.00E-04,0,0,0,0,0,0,0,4.00E-04,8.00E-05,0,0,2.00E-04,0,2.00E-04,0,0,0,0,0,0,0,3.00E-04,0,1.20E-04,1.20E-04,0,1.20E-04,0,0,0,0,0,0,0,0,0.06,0.06,0,0.22,0.02,0,0.04,0.02,0,0,0,0,0,0,4.80E-04,0,0.0068,0,6.00E-04,0,6.00E-05,4.00E-05,2.00E-05,2.00E-05,2.00E-05,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,2.00E-05,2.00E-05,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,246075,갓절임무침_HS,0310050003a,설탕: 백설탕,1,3.87,0.9996,1.00E-04,1.00E-04,0,0,0,0,0,0,0,0.997,0.997,0,0,0,0,0,0,3.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0,0,0,0,0,0.0011,0,0,0.04,0.04,0,0,0.01,0,0.01,0.01,0.0013,0.0013,0,0,0,0,0,0,0.0171,0,0.0503,0,8.00E-05,8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,2.00E-05,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0
1,12,246075,갓절임무침_HS,0610500100a,마늘: 국내산: 생것,2,2.56,0.5284,0.0032,0.0032,0,0.149,0.149,0,0.076,0.032,0.046,0.0046,0,0.0046,0,0,0,0,1.296,0.0242,0,0,0,0,0,0,0,0.004,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0.169,0.0029,0.00322,0.00996,0.0159,0.00936,6.00E-04,0,1.84,1.84,0,0,0.02168,0.0768,0.0021600001,0.24,0.24,0,3.12,0.06,0,10.62,0.48,0.0156,0.0156,0,0.0132,0.7,0,0.00502,0.0222,0.0692,0,0.2158,0,0.00296,0.0011,3.60E-04,0.00152,0.0015199999,0,0.00152,0,0,0,0,0,0,0,4.00E-05,0,0,9.80E-04,0,0,0,4.00E-05,3.40E-04,0,0.00152,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,105.48,53.1,52.38,2,3.92,4.14,0.92,3.36,2.78,0.36,3.42,1.86,30.34,2.36,2.16,2.92,14.86,21.34,3,2.24,3.5,0,3.08,6.08,9.34
1,12,246075,갓절임무침_HS,1610180001a,소금: 식염,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,167.985,0,0.675,0.12,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,246075,갓절임무침_HS,1610040001b,고추가루,3,9.57,1.8186,0.252,0.252,0,0.3987,0.3987,0,1.131,0.189,0.942,0.5235,0,0.1932,0.3303,0,0,0,0.375,0.1557,18.40749,36.815,0,220.89,0,0,0,1.0998,0.82725,0.7923,0.0213,0.22469999,0.061499998,0,0,0,0,2.07156,2.0715601,0,0,0.01281,0.06477,0.25299,0.28695,0.02511,0.22788,0,2.85,2.85,0,0,0.00732,2.2566,0.00171,2.37,2.37,0,10.26,0.39,0,76.23,4.65,0.1467,0.1467,0,0.081,20.82,0,0.04395,0.3126,0.1176,0,0.558,0,0.24114,0.04434,0.02757,0.16779,0.16737,0.0108,0.15699,0,0,0,0,0,7.50E-04,0,0.00267,0,9.00E-05,0.03303,0.00168,3.60E-04,0,0.00558,0.02202,0.0036,0.15657,0.0108,3.00E-04,0,7.50E-04,2.40E-04,1.50E-04,0,0,0,0,0,3.00E-05,5.70E-04,0,0,0,0,0,0,5.10E-04,0,0.00147,6.00E-05,0.0012599999,1.50E-04,318.69,118.35,200.34,10.65,21.18,14.22,3.87,12.3,12.99,2.04,14.64,5.64,20.82,9.39,7.5,16.17,67.89,50.94,16.38,22.38,9.69,0,11.37,23.73,46.47
1,12,246075,갓절임무침_HS,1610010004i,간장: 재래간장,3,1.02,0.0741,9.00E-04,9.00E-04,0,0.1776,0.1776,0,0.012,0.012,0,0.0087,0,0.0036,0.0051,0,0,0,2.118,0.6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423,0.00327,0.02598,0.06321,0.01908,0.0069,7.80E-04,0.96,0.96,0,0.0087,0.01845,0.1635,1.80E-04,1.17,1.17,0,3.63,239.97,0,19.71,6.24,0.0198,0.0198,0,0.0117,0,0,0.01119,0.0633,1.4718,0,1.068,0,3.30E-04,9.00E-05,6.00E-05,1.20E-04,1.20E-04,0,1.20E-04,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,0,3.00E-05,6.00E-05,0,1.20E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,3.00E-05,121.56,42.96,78.6,4.35,6.36,9.06,2.19,4.32,4.29,2.22,5.4,2.52,2.25,1.98,0.78,11.43,19.65,27,5.67,6.93,5.16,0,2.97,8.52,16.11
1,12,246075,갓절임무침_HS,0610040000a,갓: 생것,70,25.2,5.11,0.14,0.14,0,2.45,2.45,0,1.96,0,0,0,0,0,0,0,0,0,61.46,0.84,69.0081,138.017,0,828.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,0.168,0.112,0.84,0,0,0,0,0,0,0,0,0,0,0,135.1,135.1,0,41.3,23.1,0,264.6,13.0613,1.89,1.89,0,0.1708,0,0,0,0,0,0,0,0,0.1302,0.0357,0.0014,0.0924,0.016800001,0,0.0924,0,0,0,0,0,0,0,7.00E-04,0,0,0.0294,0,0,0,0.0056,0.0014,0,0.0168,0,0.0763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,246075,갓절임무침_HS,0611570300a,파: 소파(실파),3,0.48,0.096,0.003,0.003,0,0.045,0.045,0,0.0534,0,0,0,0,0,0,0,0,0,2.829,0.027,1.8,3.6,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.0015,0.0024,0.012,0,0,0,0,0,0,0,0,0,0,0,2.25,2.25,0,1.17,0.06,0,8.13,0.39087,0.024,0.024,0,0.01782,0,0,0,0,0,0,0,0,0.00282,7.80E-04,1.20E-04,0.00192,9.90E-04,0,0.00192,0,0,0,0,0,0,0,3.00E-05,0,0,6.60E-04,0,0,0,9.00E-05,1.20E-04,0,9.90E-04,0,9.30E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,246075,갓절임무침_HS,1420140000a,참기름,1,9.17,0.0014,0.9959,0.9959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,7.00E-04,0.0091699995,0.01833,0,0.11,0,0,0,0.4252,0.05777,0.0174,0,0.4019,0.0058999998,0,0,0,0,0.0912,0.0912,0,0,0,7.00E-04,0,0,0,0,0,0,0,0,0,0,0.0383,1.50E-04,0.43,0.43,0,0.99,0.16,0,0.56,0.35,0.0175,0.0175,0,0.0049,0.84,0,0.00156,0,0,0,0,0,0.9557,0.14647,0.38169,0.42463,0.42154998,0.00534,0.41929,0,0,0,0,0,0,0,0,0,0,0.08693,0.00131,6.80E-04,0,0.05138,0.37002,0.00883,0.41621,0.00534,0.00308,0,0.00578,0.00153,0,0,0,0,0,0,0,9.00E-04,0,0,0,0,0,0,8.00E-04,0,0.00291,0,0.00291,0,0.41,0.14,0.27,0.02,0.07,0,0.01,0,0.01,0,0.03,0,0,0,0.02,0.03,0.01,0.05,0.02,0.12,0.02,0,0.03,0,0.12
3,4,246056,건고구마순볶음_HS,0610110001b,고구마줄기: 말린것,35,116.2,26.4355,0.1645,0.1645,0,2.1245,2.1245,0,11.935,2.31,9.625,5.9885,0,3.3214998,2.667,0,0,0,1.715,4.5605,0,0,0,0,0,0,0,0.07,0.04795,0.0455,0,0.0245,0,0,0,0,0,0,0,0,0,0.06895,0.3794,0.4928,0.5754,0.0959,0.39689997,0,7.7,7.7,0,0,0,0,0,408.1,408.1,0,94.5,4.2,0,1728.65,88.2,2.4885,2.4885,0,0.7385,127.05,0,3.13985,1.806,4.9735,0,12.5965,0,0.2471,0.15575,0.00105,0.0903,0.00665,0.00245,0.08785,0,0,0,0.007,0,0.0105,0,0.0063,0,0,0.0812,0,0,0,0.03325,0.00105,0,0.0042,0.00245,0.0833,0,0.01015,0,0,0,0,0,0,0,0,0.00385,0,0,0,0,0,0,0.0035,0,0,0,0,0,1484.35,613.2,871.15,68.95,128.1,71.05,25.55,79.8,77,4.9,87.85,5.6,64.4,24.15,21.35,96.6,246.05,234.15,92.05,67.55,89.25,0,46.9,108.85,284.9
3,4,246056,건고구마순볶음_HS,1420150000a,콩기름,3,27.45,0.0198,2.9793,2.9793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E-04,0,0,0,0,0,0,0,1.4781,0.28785002,0.18030001,0.0243,0.8172,0.4563,0,0,0,0,3.1548,3.1548002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792,0.1767,0,0,0,2.84961,0.43851,0.6513,1.71852,1.71852,0.19674,1.52181,0,0,0,0,0,0,0,0.00234,0,0,0.30642,0.00237,0.00243,0,0.10425,0.58488,0.04218,1.52181,0.19674,0,0,0.009,0.02187,0,0,0,0,0,0,0,0.01035,0,0,0,0,0,0,0.00372,0,0.04128,9.00E-04,0.02031,0.020070001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,246056,건고구마순볶음_HS,0611570400a,파: 중파,5,1.05,0.212,0.007,0.007,0,0.0865,0.0865,0,0.055,0,0.055,0.0585,0,0.022499999,0.029499998,0,1.00E-03,0.0055,4.65,0.0445,3.6625,7.325,0,43.95,0,0,0,0.026,0.0189,0.018000001,0,0.0055,1.00E-03,1.00E-03,0,5.00E-04,0,6.5975,6.5975,0,0.6845,0.0015,0.00735,0.0058,0.010050001,0.00165,0.00415,0,2.9,2.9,0,0,0.03685,0,1.00E-03,3.6,3.6,0,2.15,0,0,16.2,0.8,0.1325,0.1325,0,0.0365,1.4,0,0.06505,0,0.0345,0,0.1635,0,0.00815,0.0021,2.00E-04,0.0058,0.0044,0.00215,0.00365,0,0,0,0,0,0,0,5.00E-05,0,0,0.00155,0,0,0,1.50E-04,2.00E-04,0,0.00225,0.00215,0.0014,0,5.00E-05,0,0,0,0,0,0,0,5.00E-05,1.00E-04,0,0,0,0,0,0,1.50E-04,0,0,0,0,0,55.4,21.75,33.65,2.85,3.6,2.9,0.5,2.1,3.25,0.25,2.4,1.3,2.6,2,0.5,2.25,6.8,13.8,2.55,1.9,3.85,0,1,4.35,8.85
3,4,246056,건고구마순볶음_HS,0610500100a,마늘: 국내산: 생것,2,2.56,0.5284,0.0032,0.0032,0,0.149,0.149,0,0.076,0.032,0.046,0.0046,0,0.0046,0,0,0,0,1.296,0.0242,0,0,0,0,0,0,0,0.004,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0.169,0.0029,0.00322,0.00996,0.0159,0.00936,6.00E-04,0,1.84,1.84,0,0,0.02168,0.0768,0.0021600001,0.24,0.24,0,3.12,0.06,0,10.62,0.48,0.0156,0.0156,0,0.0132,0.7,0,0.00502,0.0222,0.0692,0,0.2158,0,0.00296,0.0011,3.60E-04,0.00152,0.0015199999,0,0.00152,0,0,0,0,0,0,0,4.00E-05,0,0,9.80E-04,0,0,0,4.00E-05,3.40E-04,0,0.00152,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,105.48,53.1,52.38,2,3.92,4.14,0.92,3.36,2.78,0.36,3.42,1.86,30.34,2.36,2.16,2.92,14.86,21.34,3,2.24,3.5,0,3.08,6.08,9.34
3,4,246056,건고구마순볶음_HS,0520010004e,참깨: 흰깨: 볶은것,1.5,8.355,0.32745,0.67665,0.67665,0,0.3894,0.3894,0,0.2115,0.0255,0.186,0,0,0,0,0,0,0,0.039,0.0675,0.016245,0.032505,0,0.195,0,0,0,0.3447,0.03579,0.0018,0,0.3387,0.0042,0,0,0,0,0,0,0,0,0.005175,0.04398,0.056205,0.14226,0.05202,0.0041850004,0,2.25,2.25,0,0,0.00942,0,0,12.81,12.81,0,10.53,0.03,0,6.885,5.295,0.09585,0.09585,0,0.07665,16.545,0,0.01956,0,0.04965,0,0.5787,0,0.649485,0.10647,0.26505,0.27714,0.27454498,0.00258,0.27456,0,0,0,0,0,0,0,1.35E-04,0,0,0.062565,9.15E-04,4.95E-04,0,0.03765,0.25683,0.00606,0.271965,0.00258,0.002235,0,0.00414,0.00117,3.60E-04,0,0,0,0,0,0,8.40E-04,0,0,0,0,0,1.35E-04,5.25E-04,7.50E-05,8.25E-04,3.00E-04,3.90E-04,1.35E-04,323.955,151.815,172.14,11.655,23.22,9.21,8.58,15.195,12.075,5.175,14.79,8.46,43.455,11.385,6.72,16.155,27.93,65.325,17.46,11.475,15.69,0,15.3,31.755,49.665
